管理id,アクアマリン,ルビー,トウキョウリメイク,R7新年会版,R7正式版,除外,管理ID_初年度登録,管理ID_バイク,管理ID_パッケージ,エントリー日,name,連絡,sns,情報,写真,なまえ,都道府県,身長,メーカー名情報,車種名情報,年式情報,オーナー備考,name_alph,エントリーNo.,pass_photo,pass_bg_maker,,US作業,UG作業,型番,メーカー,_メーカーAlph,_メーカー国,車種1,車種2,馬力ps,燃費km/l,燃費注釈,シートmm,全長mm,乾燥重量,装備重量,車重kg,車重の注釈,価格yen,税別価格,税率,税込価格yen,価格注釈,年式year,年式注釈,排気量,排気量単位,ミッション,気筒数,エンジンモーター,情報ソースURL,備考,,pass_bg_class,pass_back,確率,,pic_path
0005,,◆,,,,,TMR05,0005,AR,,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,Suzuki,SV400S,1998,,uwagaki,5,src/img/bike_0005.jpg,src/img/bg_スズキ.svg, ,ok,,GK53A,スズキ,SUZUKI,日本,SV400S,,53,23,実燃費（投稿サイト情報）,785,2070,163,184,184,装備重量車重,66,65.6,,69,希望小売価格,1998,日本仕様,399,cc,MT,2,4st,"https://www.webike.net/bike/625/service/
https://minkara.carview.co.jp/car/suzuki/sv400-s/nenpi/",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0006,○,,,○,〇,,TMR05,0006,AR,-,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,Kawasaki,KDX125SR,1990,,uwagaki,6,src/img/bike_0006.jpg,src/img/bg_カワサキ.svg, ,ok,,KDX125A(DX125A),カワサキ,KAWASAKI,日本,KDX125SR,,22,19,実燃費（投稿サイト情報）,860,2215,104,117,117,装備重量車重,34,34,3%,35,希望小売価格,1990,日本仕様,124,cc,MT,1,2st,https://www.webike.net/bike/350/service/g3323/,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0007,,◆,,,,,TMR05,0007,AR,-,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,Suzuki,SKYWAVE 250 TypeⅠ,1998,,uwagaki,7,src/img/bike_0007.jpg,src/img/bg_スズキ.svg, ,ok,,CJ42A,スズキ,SUZUKI,日本,SKYWAVE 250,TypeⅠ,23,25,実燃費（投稿サイト情報）,695,2260,159,175,175,装備重量車重,55,54.9,,58,希望小売価格,1998,日本仕様,249,cc,AT,1,4st,"http://bikey.web.fc2.com/data/skywave250.htm
https://www.webike.net/bike/597/service/6218/
https://www.webike.net/bike/597/service/g2812/",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0008,△,,,○,,,TMR05,0008,AR,,ウシ,オフ,local,local,local,@ウシさいとう,神奈川県,168cm,Yamaha,XMAX-R,2019,,usi,8,src/img/bike_0008.jpg,src/img/bg_ヤマハ.svg, ,ok※パラメ少し修正。乾燥重量不明。,ok,2BK-SG42J,ヤマハ,YAMAHA,日本,XMAX-R,,27,34,WMTC値燃費,795,2185,,174,174,装備重量車重,80,80.4,,80,希望小売価格,2019,日本仕様,249,cc,AT,1,4st,"https://www.webike.net/bike/6036/service/g13753/
http://www.ysp-top.co.jp/bike/img/complete/xmaxr/xmaxr.pdf",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0009,○,,,○,〇,,TMR05,0009,AR,,ウシ,オフ,local,local,local,@ウシさいとう,神奈川県,168cm,Honda,CB400 SUPER FOUR HYPER VTEC Ⅲ,2003,,usi,9,src/img/bike_0009.jpg,src/img/bg_ホンダ.svg, ,ok,,BC-NC39,ホンダ,HONDA,日本,CB400,SUPER FOUR HYPER VTEC Ⅲ,53,15,実燃費（オーナー情報）,755,2080,168,188,188,装備重量車重,77,77,5%,81,希望小売価格,2003,日本仕様,399,cc,MT,4,4st,https://www.honda.co.jp/news/1999/2990222.html,,,src/img/bg_medium.svg,src/img/back_medium.svg,,,
0010,○,,,,,,TMR05,0010,AR,,ヒゲ,オフ,local,local,local,@ヒゲ,神奈川県,178cm,Yamaha,YZF-R3,2003,,hige,10,src/img/bike_0010.jpg,src/img/bg_ヤマハ.svg, ,ok※乾燥重量不明,UG持ち主に最終確認,8BL-RH21J,ヤマハ,YAMAHA,日本,YZF-R3,Movistar Yamaha MotoGP Edition,42,25,WMTC値燃費,780,2090,,169,169,装備重量車重,54,54,10%,60,希望小売価格,2019,日本仕様,320,cc,MT,2,4st,https://www.yamaha-motor.co.jp/mc/lineup/yzf-r25/spec.html,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0011,△,,,,,,TMR05,0011,AR,,ヒゲ,オフ,local,local,local,@ヒゲ,神奈川県,178cm,Yamaha,VMAX,1995(カナダ),,hige,11,src/img/bike_0011.jpg,src/img/bg_ヤマハ.svg, ,ok,,3UF,ヤマハ,YAMAHA,日本,VMAX,,97,13,実燃費（投稿サイト情報）,765,2300,264,283,283,装備重量車重,92,91.6,,94,希望小売価格,1995,※カナダ,1197,cc,MT,4,4st,"https://bike-lineage.org/yamaha/vmax/vmax12.html
http://www.mr-bike.jp/feature/vmax/06_taizen/06-5.html",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0012,,,,,,,TMR05,0012,AR,,ヒゲ,オフ,local,local,local,@ヒゲ,神奈川県,178cm,Kawasaki,250TR,2003,,hige,12,src/img/bike_0012.jpg,src/img/bg_カワサキ.svg, ,ok,,,カワサキ,KAWASAKI,日本,250TR,,19,27,実燃費（投稿サイト情報）,775,2100,134,144,144,装備重量車重,35,35,,37,希望小売価格,2003,日本仕様,249,cc,MT,1,4st,https://www.webike.net/bike/358/service/2030/,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,3.13%,
0013,,◆,,,,,TMR05,0013,AR,2023/04/17,酢酸ソイソース,投稿,https://twitter.com/rottedsoy,https://twitter.com/rottedsoy/status/1647756156214087680?t=2QL5CyalYdNYzXZRo-9JHQ&s=19,https://twitter.com/rottedsoy/status/1647756156214087680?t=UIoCwDRp4N01ORtU26P8Gg&s=19,@さくさんソイソース,大阪府,171cm,YAMAHA,BW80,1987,燃費→20km/Lくらいですかね,soiso-su,13,src/img/bike_0013.jpg,src/img/bg_ヤマハ.svg, ,ok※注釈あり,UG持ち主に最終確認,BP7HS,ヤマハ,YAMAHA,日本,BW80,,5,20,実燃費（オーナー情報）,630,1575,66,,66,乾燥重量車重,25,,,25,中古相場価格税込,1987,日本仕様,79,cc,MT,1,2st,https://global.yamaha-motor.com/jp/stories/history/products/img/mc/AP000037655.pdf,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0014,○,○,,○,,,TMR05,0014,AR,2023/04/18,チャウチャウ男爵,投稿,https://twitter.com/chowchowbaron,https://twitter.com/chowchowbaron/status/1648274935742369793?s=200,https://twitter.com/chowchowbaron/status/1648274935742369793?s=20,@チャウチャウ,神奈川県,181cm,Bluroc 旧社名Bullit,ヒーロー50,2020,,chauchau,14,src/img/bike_0014.jpg,src/img/bg_ブリット.svg, ,ok※注釈あり,ok,,ブリット,Bullit,ベルギー,ヒーロー50,,4,44,実燃費（オーナー情報）,800,2020,,121,121,装備重量車重,44,44,10%,48,希望小売価格,2020,日本仕様,50,cc,MT,1,4st,https://www.bikebros.co.jp/catalog/270/999_2/,,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
0015,△,,,○,,,TMR05,0015,AR,2023/04/18,チャウチャウ男爵,投稿,同上,同上,同上,@チャウチャウ,神奈川県,181cm,honda,SOLO,2003,,chauchau,15,src/img/bike_0015.jpg,src/img/bg_ホンダ.svg, ,ok,ok,BA-AC17,ホンダ,HONDA,日本,SOLO,,4,50,実燃費（投稿サイト情報）,730,1995,73,77,77,装備重量車重,20,19.9,,21,希望小売価格,2003,日本仕様,49,cc,AT,1,4st,"https://www.bikebros.co.jp/catalog/1/125_1/
https://www.honda.co.jp/news/2003/2030305-solo.html",,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
0016,△,,,,,,TMR05,0016,AR,2023/04/18,チャウチャウ男爵,投稿,同上,同上,同上,@チャウチャウ,神奈川県,181cm,アプリリア,クラシック50,1995,,chauchau,16,src/img/bike_0016.jpg,src/img/bg_アプリリア.svg, ,ok※注釈あり,ok,,アプリリア,Aprilia,イタリア,クラシック50,,9,32,実燃費（オーナー情報）,720,2162,85,,85,乾燥重量車重,15,,,15,中古相場価格税込,1995,日本仕様,50,cc,MT,1,2st,"https://www.bikebros.co.jp/catalog/11/15_1/
https://mechaota.blogspot.com/2016/09/50.html",,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
0017,○,○,,,,,TMR05,0017,AR,2023/04/18,チャウチャウ男爵,投稿,同上,https://twitter.com/chowchowbaron/status/1648307301835763713?s=20,https://twitter.com/chowchowbaron/status/1648307301835763713?s=20,@チャウチャウ,神奈川県,181cm,ザックス(SACHS),MadAss,2004,,chauchau,17,src/img/bike_0017.jpg,src/img/bg_ザックス.svg, ,ok※注釈あり,ok,,ザックス,SACHS,ドイツ,MadAss,,3,55,実燃費（オーナー情報）,835,1705,,85,85,装備重量車重,35,35,5%,37,希望小売価格,2004,日本仕様,49,cc,MT,1,4st,"http://www.honorary.jp/sachs/03.html
https://www.bestbeginnermotorcycles.com/sachs-madass-50-review/",,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
0018,,◆,,○,,,TMR05,0018,AR,2023/04/17,みつる,投稿,https://twitter.com/co0310python,https://twitter.com/NANAWARI_games/status/1647821687248011264?t=CAtIzBQkqs9dmQIy-3Qjag&s=19,https://twitter.com/co0310python/status/1648168840835092482?t=tMjQHRVvc8_FJZUETRVOvQ&s=19,@みつる,埼玉県,157cm,kawasaki,Ninja250,2013,,mitsuru,18,src/img/bike_0018.jpg,src/img/bg_カワサキ.svg, ,ok,,JBK-EX250L,カワサキ,KAWASAKI,日本,Ninja250,,31,26,WMTC値燃費,785,2020,151,172,172,装備重量車重,54,53.8,,56,希望小売価格,2013,日本仕様,248,cc,MT,2,4st,"https://www.bikebros.co.jp/catalog/4/99_6#spec_top
https://bike-lineage.org/kawasaki/ninja250r/2013ninja250.html",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0019,,◆,,,,,TMR05,0019,AR,2023/04/17,ある,投稿,https://twitter.com/Ag4Ab,↑紹介（夫婦）,https://twitter.com/co0310python/status/1648168840835092482?t=tMjQHRVvc8_FJZUETRVOvQ&s=19,@ある,埼玉県,171cm,kawasaki,Ninja ZX-10R,2012(US仕様),,aru,19,src/img/bike_0019.jpg,src/img/bg_カワサキ.svg, ,ok※注釈あり,UG持ち主に最終確認,8BL-ZXT02L,カワサキ,KAWASAKI,日本,Ninja ZX-10R,,200,16,実燃費（投稿サイト情報）,813,2075,,198,198,装備重量車重,163,163,,171,希望小売価格,2012,※US仕様,998,cc,MT,4,4st,"https://www.bikebros.co.jp/catalog/4/71_5/#spec_top
https://fichasmotor.com/ja/kawasaki/kawasaki-ninja-zx-10r-2012/
https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=4&bike_series_cd=71&bike_cd=5&bike_model_id=4829",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0020,,◆,,,,,TMR05,0020,AR,2023/04/21,バイキン😈,投稿,https://twitter.com/Blasan4645,https://twitter.com/Blasan4645/status/1649365051370004483?s=20,https://twitter.com/Blasan4645/status/1649435959447162881?s=20,@バイキン,神奈川県,178cm,Suzuki,GSX S1000S KATANA,2019,,baikin,20,src/img/bike_0020.jpg,src/img/bg_スズキ.svg, ,ok※注釈あり,UG持ち主に最終確認,2BL-GT79B,スズキ,SUZUKI,日本,GSX S1000S,KATANA,148,19,WMTC値燃費,825,2130,,215,215,装備重量車重,154,154,,169,希望小売価格,2019,日本仕様,998,cc,MT,4,4st,https://www.bikebros.co.jp/catalog/3/999_81/#spec_top,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0021,△,,,,,,TMR05,0021,AR,2023/04/25,おとっちゃまω,DM,https://twitter.com/GBGBkusoAimer,https://twitter.com/GBGBkusoAimer/status/1650573466356318208?s=19,https://twitter.com/GBGBkusoAimer/status/1650573466356318208?s=19,@おとっちゃま,香川県,176cm,SUZUKI,GSX750E4,1984,,otocchama,21,src/img/bike_0021.jpg,src/img/bg_スズキ.svg, ,ok※注釈あり,UG持ち主に最終確認,GSX750,スズキ,SUZUKI,日本,GSX750E4,,77,24,実燃費（個人サイト情報）,780,2175,212,,212,乾燥重量車重,68,68,,68,希望小売価格,1984,日本仕様,747,cc,MT,4,4st,"https://young-machine.com/2018/09/30/13836/
https://young-machine.com/2018/12/30/21026/?gnmode=all
http://beem128.client.jp/rireki/gsx750e4.htm",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0022,,◆,,,,,TMR05,0022,AR,2023/04/25,ワカモレファー,投稿,https://twitter.com/hula_mau,https://twitter.com/hula_mau/status/1650740215231938560?t=3UjRjtsnUL9UGq55QRKpMg&s=19,https://twitter.com/hula_mau/status/1650740215231938560?t=3UjRjtsnUL9UGq55QRKpMg&s=19,@ワカモレファー,埼玉県,170cm,SUZUKI,GSX1100SBE,1987,,wakamorefa-,22,src/img/bike_0022.jpg,src/img/bg_スズキ.svg, ,ok,UG持ち主に最終確認,	GS110X,スズキ,SUZUKI,日本,GSX1100SBE,,111,17,実燃費（投稿サイト情報）,775,2260,232,254,254,装備重量車重,80,79.8,,80,希望小売価格,1987,日本仕様,1075,cc,MT,4,4st,"https://bike-lineage.org/suzuki/gsx1100s/gsx1100sae_sbe.html
https://www.autoby.jp/_ct/17563664
https://minkara.carview.co.jp/car/suzuki/gsx1100s_katana/spec/unit129076/?sls=24125&ti=129076
https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%BA%E3%82%AD%E3%83%BB%E3%82%AB%E3%82%BF%E3%83%8A",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0023,,◆,,,,,TMR05,0023,AR,2023/04/28,キューブ,投稿,https://twitter.com/c_ub_e,https://twitter.com/c_ub_e/status/1651728526876504065?s=20,https://twitter.com/c_ub_e/status/1651806474765766657?s=20,@キューブ,東京都,175cm,ホンダ,CB1100,2016,,kyu-bu,23,src/img/bike_0023.jpg,src/img/bg_ホンダ.svg, ,ok,,SC65,ホンダ,HONDA,日本,CB1100,,88,18,WMTC値燃費,765,2205,226,246,246,装備重量車重,101,101,,109,希望小売価格,2016,日本仕様,1140,cc,MT,4,4st,https://www.honda.co.jp/news/2016/2160411-cb1100.html,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0024,,◆,,○,,,TMR05,0024,AR,2023/04/29,もものすけ,ヴィレッジ・投稿,https://twitter.com/kendommnsk,https://twitter.com/kendommnsk/status/1652229639572684803?s=20,エントリー同時,@もものすけ,神奈川県,175cm,kawasaki,バルカン400,1995,,momonosuke,24,src/img/bike_0024.jpg,src/img/bg_カワサキ.svg, ,ok,,,カワサキ,KAWASAKI,日本,バルカン400,,33,21,実燃費（個人サイト情報）,710,2360,223,246,246,装備重量車重,63,62.9,,65,希望小売価格,1995,日本仕様,399,cc,MT,2,4st,"https://mtc.greeco-channel.com/kawasaki/vulcan400_vn400a/
https://tj-garage.com/6951/",,,src/img/bg_medium.svg,src/img/back_medium.svg,,,
0025,○,,,,,,TMR05,0025,AR,2023/04/29,リョータ,ヴィレッジ・投稿,https://twitter.com/kawamura_0514,https://twitter.com/kawamura_0514/status/1652237124236869632?s=20,エントリー同時,@リョータ,神奈川県,179cm,ホンダ,スティード400,1994,,ryo-ta,25,src/img/bike_0025.jpg,src/img/bg_ホンダ.svg, ,ok,,,ホンダ,HONDA,日本,スティード400,,30,22,実燃費（投稿サイト情報）,680,2310,203,215,215,装備重量車重,60,60,3%,62,希望小売価格,1994,日本仕様,398,cc,MT,2,4st,"https://www.bikebros.co.jp/catalog/1/119_1/#spec_top
https://www.honda.co.jp/news/1994/2940112s.html",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0026,,,,,,除外,TMR05,,,2023/04/29,すーさん,,https://twitter.com/3c_b0,ask,ask,@ask,ask,askcm,ヤマハ,ドラッグスター400,ask,,,26,src/img/bike_0026.jpg,src/img/bg_ヤマハ.svg, ,年式待ち,,,ヤマハ,YAMAHA,日本,ドラッグスター400,,,,,,,,,?,,,,,,,,,,,,,,,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0027,△,○,,,,,TMR05,0026,AR,2023/04/29,ヨシオカ,メッセンジャー,https://www.facebook.com/bocusatu.gate,メッセンジャー,同左,@ヨシオカ,東京都,168cm,YAMAHA,T-MAX530 BLACK MAX,2013,,,27,src/img/bike_0027.jpg,src/img/bg_ヤマハ.svg, ,ok,,EBL-SJ12J,ヤマハ,YAMAHA,日本,T-MAX530,BLACK MAX,46,22,WMTC値燃費,800,2200,197,217,217,装備重量車重,105,105,,110,希望小売価格,2013,日本仕様,530,cc,AT,2,4st,"https://www.webike.net/bike/6339/service/g2135/
https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=2&bike_series_cd=67&bike_cd=2&bike_model_id=8612
http://geo.d51498.com/twincube/mybike/BikeData/tmax530.html
https://news.bikebros.co.jp/model/news20130515/#:~:text=%E2%96%A0%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E5%B8%8C%E6%9C%9B%E5%B0%8F%E5%A3%B2%E4%BE%A1%E6%A0%BC,%E8%B2%BB%E7%94%A8%E3%81%AF%E5%90%AB%E3%81%BE%E3%82%8C%E3%81%AA%E3%81%84%E3%80%82",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0028,○,,,○,〇,,TMR05,0027,AR,2023/04/29,ヨシオカ,メッセンジャー,https://www.facebook.com/bocusatu.gate,local,同左,@ヨシオカ,東京都,168cm,Suzuki,Hayabusa,2006,,,28,src/img/bike_0028.jpg,src/img/bg_スズキ.svg, ,ok,,,スズキ,SUZUKI,日本,Hayabusa,,175,17,実燃費（投稿サイト情報）,805,2140,217,246,246,装備重量車重,141,141,5%,148,希望小売価格,2006,※海外向けモデル,1299,cc,MT,4,4st,"https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=3&bike_series_cd=121&bike_cd=1&bike_model_id=6742&fbclid=IwAR1rmSuP3oFugOrinovVd8hdvq5VwrX8rXEeoPi7Uz-ExH6C9JSFBEEBFos
https://mtc.greeco-channel.com/suzuki/hayabusa1300/
http://www.motomap.net/lineup/2006/mdl_hybs1300_s.html",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0029,○,,,○,,,TMR05,0028,AR,2023/04/29,ヨシオカ,メッセンジャー,https://www.facebook.com/bocusatu.gate,メッセンジャー,同左,@ヨシオカ,東京都,168cm,スズキ,スカイウェイブ250type S (CJ46A),2014,,,29,src/img/bike_0029.jpg,src/img/bg_スズキ.svg, ,ok,,CJ46A,スズキ,SUZUKI,日本,SKYWAVE 250,type S,26,27,実燃費（個人サイト情報）,710,2270,193,221,221,装備重量車重,66,66,8%,71,希望小売価格,2014,日本仕様,249,cc,AT,1,4st,"https://www.webike.net/bike/597/service/
https://minkara.carview.co.jp/car/suzuki/skywave250_type_s/spec/unit107744/?ti=107744
https://kurashi-no.jp/I0036289
http://www.gsx.triple-arrows.com/main4-1/4-4-01.htm",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0030,○,○,,,,,TMR05,0029,AR,2023/04/29,マツバラテツ,メッセンジャー,local,メッセンジャー,同左,@マツバラテツ,神奈川県,172cm,bmw,r9t,2017,,,30,src/img/bike_0030.jpg,src/img/bg_ビーエムダブリュー.svg, ,ok。税抜き不明。乾燥重量不明。多分海外仕様。,,,ビーエムダブリュー,BMW,ドイツ,R nineT,,110,19,WMTC値燃費,870,2105,,222,222,装備重量車重,198,,,198,希望小売価格,2017,※海外メーカーモデル,1170,cc,MT,2,4st,"https://www.virginbmw.com/models/rninet-2017/
http://motorradshizuoka2025.blog.fc2.com/blog-entry-20.html
https://www.bikebros.co.jp/catalog/7/1_27/",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0031,○,○,,,,,TMR05,0030,AR,2023/05/02,エモや,,https://www.instagram.com/emo.espresso/,emo,https://www.instagram.com/p/CkNJCZrh4DD/?igshid=YmMyMTA2M2Y=,@エモや,神奈川県,166cm,ドゥカティ　900ss,,1991,,,31,src/img/bike_0031.jpg,src/img/bg_ドゥカティ.svg, ,ok※注釈あり,,,ドゥカティ,DUCATI,イタリア,900ss,ハーフカウル,72,17,実燃費（オーナー情報）,800,2030,186,,186,乾燥重量車重,151,,,151,希望小売価格,1991,※海外メーカーモデル,904,cc,MT,2,4st,"https://www.bikebros.co.jp/catalog/8/999_64/
https://forride.jp/motorcycle/900ss-cafe
https://rilassaru.blog.jp/archives/1917956.html
https://ameblo.jp/a-fidelio/entry-11147692867.html",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0032,○,○,,○,,,TMR05,0031,AR,2023/05/02,エモや,,https://www.instagram.com/emo.espresso/,emo,https://www.instagram.com/p/CglT0tvhDnt/?igshid=YmMyMTA2M2Y=,@エモや,神奈川県,166cm,ベスパ2st　et3　125,,1980,シート高75cm,,32,src/img/bike_0032.jpg,src/img/bg_ベスパ.svg, ,ok※注釈あり,,,ベスパ,VESPA,イタリア,125ET3,,7,22,実燃費（オーナー情報）,750,1665,78,,78,乾燥重量車重,40,,,40,希望小売価格,1980,※海外メーカーモデル,121,cc,MT,1,2st,"https://motor-fan.jp/bikes/article/7080/
https://minkara.carview.co.jp/userid/2290699/car/1791785/profile.aspx",,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
